
str_no_string|NO STRING!
str_rumor_talki_bandit_21|他 听 一 个 哥 斯 布 尔 农 民 说 ， 去 年 漫 长 的 冬 天 过 后 ， 许 多 农 民 都 不 能 按 时 播 种 。 由 于 领 主 的 贪 婪 和 高 税 收 ， 他 们 无 法 确 定 能 否 度 过 下 一 个 冬 天 。 有 人 说 要 放 弃 他 们 的 土 地 向 南 跑 去 烈 狮 境 。 当 然 ， 一 些 更 年 轻 的 小 伙 子 去 当 了 土 匪 。 
str_rumor_talki_bandit_22|他 在 布 尤 林 看 见 一 个 女 人 为 一 个 年 轻 人 的 尸 体 哭 泣 。 其 他 农 民 在 一 旁 围 观 ， 他 问 发 生 了 什 么 事 ， 他 们 回 答 这 个 女 人 失 去 丈 夫 后 ， 她 的 大 儿 子 去 当 土 匪 养 家 。 他 打 劫 了 几 个 商 队 ， 当 提 图 斯 将 军 知 道 这 件 事 后 ， 制 裁 是 迅 速 而 无 情 的 。 
str_rumor_talki_bandit_23|他 偶 然 听 到 一 些 土 匪 计 划 下 一 次 袭 击 。 他 们 提 到 几 个 附 近 村 庄 的 名 字 ， 不 过 有 个 人 建 议 简 单 袭 击 一 下 ， 冲 进 村 子 然 后 把 那 里 变 成 他 们 自 己 的 王 国 。 一 想 到 能 变 成 领 主 就 万 分 高 兴 ， 其 余 的 人 也 都 为 这 个 主 意 欢 呼 。 实 际 上 ， 他 们 都 还 只 是 孩 子 。 
str_rumor_talki_bandit_24|他 说 他 在 路 边 发 现 一 张 通 缉 令 。 一 开 始 他 认 为 这 是 个 失 踪 儿 童 的 画 像 ， 因 为 那 个 孩 子 看 起 来 还 不 到 十 三 岁 。 经 过 调 查 ， 他 知 道 领 主 重 金 悬 赏 这 个 小 孩 儿 的 人 头 。 表 面 上 他 只 是 个 普 通 土 匪 ， 实 际 上 他 已 经 杀 了 十 二 个 人 了 。 
str_rumor_talki_bandit_25|他 听 到 一 个 诗 人 吟 唱 《 汤 基 . 史 密 斯 之 歌 》 。 貌 似 这 首 歌 在 当 地 酒 馆 很 流 行 ， 不 到 几 分 钟 就 聚 集 了 一 群 人 边 嘲 笑 边 用 走 调 的 声 音 跟 着 唱 。 这 首 歌 讲 述 了 关 于 汤 基 的 故 事 ， 他 是 一 个 铁 匠 之 子 ， 后 来 为 了 最 求 名 利 去 当 了 强 盗 。 他 打 劫 村 民 并 且 把 酒 当 水 喝 ， 没 想 到 被 连 他 名 字 都 不 知 道 的 {playername}砍 了 。 
str_rumor_talki_renegade_1|他 从 一 支 路 过 的 商 队 里 听 说 一 支 无 赖 骑 士 队 伍 割 了 一 个 凛 鸦 境 村 子 里 所 有 人 的 脖 子 。 为 什 么 ？ 因 为 他 们 不 喜 欢 曾 经 从 村 民 那 里 偷 走 的 食 物 。 
str_rumor_talki_renegade_2|他 在 使 坠 湾 酒 馆 听 说 有 人 把 一 个 凛 鸦 境 领 主 从 与 叛 变 骑 士 的 战 斗 中 救 了 出 来 。 现 在 骑 士 们 去 抓 这 个 名 叫 {playername}的 人 了 。 不 会 碰 巧 就 是 你 吧 ？ 如 果 是 你 ， 小 心 点 ！ 
str_rumor_talki_renegade_3|他 说 ， 据 一 个 被 他 们 队 伍 赶 出 来 的 扈 从 说 ， 任 何 一 个 叛 变 骑 士 和 他 们 的 受 害 者 之 间 都 像 仇 敌 一 般 迅 速 划 清 界 限 。 而 且 他 们 从 来 不 会 忘 记 一 个 敌 人 。 
str_rumor_talki_renegade_4|他 听 说 大 多 数 无 赖 骑 士 其 实 是 外 域 被 流 放 的 贵 族 。 他 们 为 了 逃 避 命 运 而 来 到 我 们 这 个 不 稳 定 的 国 度 ， 就 像 秃 鹰 盘 旋 在 一 只 临 死 的 小 狗 头 上 。 
str_rumor_talki_renegade_5|他 听 光 啸 湾 武 器 商 人 说 一 群 叛 变 骑 士 和 一 支 冒 险 团 里 发 生 争 斗 ， 并 且 结 果 不 是 很 好 。 他 们 可 能 是 在 跟 狮 鹫 之 剑 冒 险 团 打 。 
str_rumor_talki_renegade_6|他 说 他 听 说 叛 变 骑 士 们 虐 待 俘 获 的 农 妇 和 从 商 队 抓 来 的 学 徒 男 孩 儿 。 这 群 堕 落 的 东 西 ！ 我 猜 他 们 一 定 很 穷 ， 连 妓 女 都 尽 可 能 避 开 他 们 。 
str_rumor_talki_renegade_7|他 听 一 个 商 队 首 领 说 一 群 叛 变 骑 士 在 菲 尔 兹 威 狠 狠 教 训 了 异 端 ， 并 且 杀 了 很 多 人 。 这 是 我 听 过 的 关 于 叛 变 骑 士 的 唯 一 一 件 好 事 儿 。 
str_rumor_talki_renegade_8|他 说 他 在 烈 狮 城 听 说 甚 至 领 主 们 都 避 免 与 叛 变 骑 士 交 战 。 他 们 是 一 些 低 贱 的 杂 种 ， 可 能 也 是 凶 残 的 战 士 。 
str_rumor_talki_renegade_9|他 说 一 个 商 人 告 诉 他 一 群 无 赖 骑 士 在 狮 湖 城 附 近 只 为 了 取 乐 就 屠 杀 了 一 些 难 民 。 他 们 为 了 绊 倒 过 路 人 而 留 下 成 堆 的 尸 体 。 
str_rumor_talki_renegade_10|他 听 峭 岩 湾 的 一 个 朋 友 说 在 某 个 潘 德 领 主 的 年 轻 儿 子 带 领 下 出 现 一 群 新 的 叛 变 骑 士 。 他 的 父 亲 因 为 他 试 图 毒 死 他 的 哥 哥 ， 也 就 是 爵 位 继 承 人 。 如 果 这 个 故 事 是 真 的 ， 那 么 他 罪 有 应 得 。 
str_rumor_talki_renegade_11|他 说 他 在 凛 鸦 城 市 场 听 说 格 雷 戈 里 国 王 重 金 悬 赏 任 何 给 他 带 来 叛 变 骑 士 头 颅 的 人 。 现 在 他 们 无 疑 是 凛 鸦 境 的 灾 难 。 
str_rumor_talki_renegade_12|他 听 一 个 帝 国 将 军 说 马 略 皇 帝 告 诉 他 的 军 团 士 兵 杀 掉 每 个 跑 在 对 面 的 无 赖 骑 士 。 他 说 他 们 几 乎 和 拜 蛇 教 一 样 邪 恶 。 
str_rumor_talki_renegade_13|他 说 某 个 叛 变 骑 士 声 称 以 前 是 龙 骑 士 团 的 ， 他 外 出 要 为 被 骑 士 团 非 法 遣 散 报 仇 。 
str_rumor_talki_renegade_14|他 听 说 拉 蒙 说 他 从 叛 变 骑 士 手 里 买 的 农 妇 被 虐 待 成 痴 呆 并 且 不 适 合 出 售 。 
str_rumor_talki_renegade_15|他 说 烈 狮 城 管 家 告 诉 他 乌 尔 里 克 国 王 从 叛 变 骑 士 那 里 逃 回 来 。 当 时 国 王 正 和 一 小 群 贵 族 在 狩 猎 ， 不 想 冒 险 击 败 或 俘 获 他 们 。 
str_rumor_talki_renegade_16|他 在 酒 馆 听 说 一 个 被 抓 的 叛 变 骑 士 从 红 色 兄 弟 会 手 里 逃 脱 并 在 寻 找 一 个 叫 {playername}的 人 报 仇 。 如 果 那 人 是 你 ， 小 心 点 ！ 
str_rumor_talki_renegade_17|他 说 他 听 一 个 烈 狮 城 商 人 说 诺 多 在 长 河 镇 附 近 攻 击 一 伙 叛 变 骑 士 ， 并 且 当 场 杀 光 所 有 伤 员 。 就 该 这 么 对 待 这 群 杂 种 。 诺 多 干 得 好 ， 我 说 。 
str_rumor_talki_renegade_18|他 听 一 个 军 团 士 兵 说 一 伙 叛 变 骑 士 袭 击 了 帝 临 港 附 近 的 村 子 ， 并 且 糟 蹋 完 女 人 之 后 就 放 火 烧 了 那 个 地 方 。 
str_rumor_talki_renegade_19|他 说 晓 炉 城 修 道 院 院 长 告 诉 他 无 赖 骑 士 大 部 分 来 自 潘 德 ， 而 不 是 像 他 们 声 称 的 那 样 来 自 外 域 ， 但 是 他 们 自 称 是 外 国 人 是 为 了 隐 藏 他 们 的 出 身 。 话 虽 这 样 说 ， 还 是 很 难 相 信 他 们 在 乎 家 族 荣 誉 。 
str_rumor_talki_renegade_20|他 说 他 在 思 源 城 听 说 某 些 叛 变 骑 士 战 团 打 算 站 在 拜 蛇 教 一 边 对 抗 帝 国 ， 如 果 他 们 偶 然 发 现 这 两 家 正 在 交 战 的 话 。 当 然 ， 识 时 务 者 为 俊 杰 嘛 。 
str_rumor_talki_special_1|他 说 他 曾 遇 到 过 的 一 个 流 浪 艺 人 告 诉 他 先 知 马 迪 甘 的 坟 墓 上 开 满 了 不 会 枯 萎 也 不 会 死 亡 的 鲜 花 。 
str_rumor_talki_special_2|他 遇 到 的 一 个 流 浪 者 告 诉 他 一 则 关 于 几 个 疯 老 头 守 着 一 个 十 分 隐 蔽 的 神 秘 矿 场 的 故 事 。其 中 一 人 据 说 是 能 够 锻 造 神 兵 利 器 的 大 师 级 铁 匠 ， 另 一 老 头 似 乎 只 是 嗜 酒 如 命 。
str_rumor_talki_special_3|他 听 说 有 的 训 练 师 会 帮 助 还 不 够 成 熟 的 战 士 们 提 高 他 们 的 技 能 。 
str_rumor_talki_special_4|他 遇 到 过 一 位 愿 意 出 价 三 千 第 纳 尔 来 购 买 龙 泪 宝 石 的 商 人 ， 他 认 为 这 商 人 是 在 说 胡 话 ， 潘 德 这 片 土 地 上 任 何 人 都 知 道 龙 已 经 绝 迹 了 ， 再 说 大 家 也 都 知 道 龙 是 不 会 哭 泣 的 。 
str_rumor_talki_special_5|他 和 酒 馆 中 的 商 人 们 聊 了 一 会 儿 ， 大 家 都 认 为 如 果 战 争 继 续 下 去 的 话 ， 食 物 的 价 格 将 一 路 上 升 上 去 。 太 多 的 农 民 被 充 入 军 队 已 经 没 有 足 够 的 人 来 种 地 了 。 
str_rumor_talki_special_6|他 说 前 几 天 他 拜 访 了 一 位 正 在 出 售 一 把 极 品 诺 多 符 印 剑 的 武 器 商 人 ， 让 他 吃 惊 的 是 商 人 的 要 价 要 比 他 的 城 市 一 年 的 收 入 还 高 。 
str_rumor_talki_special_7|他 说 他 注 意 到 这 六 个 月 来 比 平 常 更 多 的 外 国 人 来 到 了 潘 德 ， 他 们 看 从 海 路 来 ， 一 般 都 在 光 啸 湾 上 岸 。 
str_rumor_talki_special_8|他 说 他 前 几 天 在 一 所 酒 馆 一 名 雇 佣 兵 向 他 凑 过 来 ， 此 人 试 图 卖 给 他 一 张 藏 宝 图 。 
str_rumor_talki_special_9|有 个 喝 醉 的 人 告 诉 过 我 潘 德 上 拜 蛇 教 的 真 正 的 起 源 ， 他 说 一 个 叫 劳 拉 的 女 人 因 为 在 给 第 一 任 丈 夫 服 丧 时 对 她 的 第 二 任 丈 夫 的 失 望 而 创 立 了 教 团 。 
str_rumor_talki_special_10|在 晚 上 当 我 们 宿 营 的 时 候 ， 他 唱 起 了 哈 达 瑞 可 坦 尼 斯 悲 伤 的 传 说 ， 草 原 之 火 ， 他 是 如 何 在 德 夏 平 原 战 斗 和 灭 亡 的 故 事 。 
str_rumor_talki_special_11|他 在 谈 论 着 狮 鹫 骑 士 团 和 卡 拉 撒 一 世 如 何 重 建 它 的 故 事 。 
str_rumor_talki_special_12|当 我 们 拿 出 烟 斗 打 算 抽 支 烟 的 时 候 ， 他 讲 起 一 个 可 怕 的 传 说 ， 瓦 尔 汶 的 阿 波 加 斯 特 故 事 。 让 我 那 晚 难 以 入 眠 。 
str_rumor_talki_special_13|他 说 他 的 祖 先 曾 和 无 情 者 亨 德 里 克 的 父 亲 一 起 参 加 了 327年 在 长 歌 港 的 大 战 并 从 异 邦 蛮 族 手 中 救 下 了 长 歌 港 的 继 承 人 。 虽 然 后 来 亨 德 里 克 变 得 很 有 名 ， 但 他 的 祖 先 却 成 了 一 个 酒 鬼 并 最 终 被 吊 死 了 。
str_rumor_talki_special_14|他 吹 嘘 曾 在 老 橡 树 酒 馆 只 有 提 到 德 拉 古 的 名 字 ， 任 何 一 个 红 色 兄 弟 会 的 人 都 会 哭 爹 喊 娘 的 逃 跑 。 
str_rumor_talki_special_15|他 告 诉 我 他 听 过 吟 游 诗 人 吟 唱 依 齐 伦 的 传 说 ， 讲 述 了 一 个 勇 敢 的 老 战 士 在 凛 鸦 境 的 雪 地 里 赢 得 了 他 的 最 后 一 场 胜 利 后 伤 重 而 亡 的 故 事 。 
str_rumor_talki_special_16|后 来 他 说 一 些 叫 努 舍 斯 的 笨 蛋 告 诉 他 他 曾 见 过 鱼 骑 士 ！ 很 长 时 间 都 没 人 看 见 他 了 ！ 
str_rumor_talki_special_17|他 说 一 次 他 喝 多 了 ， 谈 起 了 马 略 一 世 如 何 被 无 情 者 亨 德 里 克 俘 虏 的 故 事 。 那 是 个 最 好 别 在 帝 国 界 内 提 起 的 事 情 。 
str_rumor_talki_special_18|他 为 我 唱 起 了 最 新 出 的 一 首 歌 ， 猎 杀 之 歌 。 这 种 杀 戮 的 故 事 虽 然 在 宫 廷 中 反 映 不 是 很 好 ， 不 过 我 还 是 挺 喜 欢 的 。 
str_rumor_talki_special_19|他 说 他 见 过 一 匹 像 暗 星 一 样 的 骏 马 ， 不 幸 的 是 他 没 有 足 够 的 钱 来 购 买 它 。 我 对 此 并 不 吃 惊 ， 因 为 他 总 是 去 把 钱 花 在 赌 博 上 。 
str_rumor_talki_special_20|他 说 他 听 到 过 一 个 奴 隶 科 里 的 故 事 ， 他 会 用 邪 恶 的 法 术 来 找 到 水 。 为 了 我 们 大 家 好 ， 术 士 和 巫 师 们 都 应 该 烧 死 在 火 刑 柱 上 ！ 
str_rumor_talki_special_21|他 说 不 久 前 的 一 个 夜 晚 ， 那 个 “ 鱼 骑 士 ” 和 他 们 一 起 分 享 了 篝 火 。 他 们 直 到 他 离 开 后 才 认 出 了 他 ， 笨 蛋 。 
str_rumor_talki_special_22|他 谈 起 一 个 德 夏 风 牙 部 落 中 的 奇 怪 的 习 俗 ， 我 想 还 是 不 要 再 提 起 这 个 比 较 好 。 
str_rumor_talki_special_23|他 说 他 听 过 凡 斯 凯 瑞 海 盗 们 膜 拜 一 个 神 秘 的 神 。 这 些 异 教 野 蛮 人 称 颂 被 叫 做 萨 克 森 龙 的 东 西 。 谁 都 知 道 现 在 已 经 没 有 龙 活 着 了 。 
str_rumor_talki_special_24|他 说 他 听 到 过 这 些 散 布 流 言 的 僧 侣 们 在 庙 中 讨 论 着 一 名 长 老 的 一 些 古 老 俗 语 的 文 献 ， 这 名 长 老 名 为 法 齐 娅 ， 曾 经 是 一 名 地 毯 商 人 而 现 在 是 名 抄 写 员 。 
str_rumor_talki_special_25|他 说 他 很 欣 赏 盔 甲 匠 艾 伦 最 近 的 的 一 件 作 品 ， 不 过 从 不 奢 望 能 买 得 起 它 。 
str_rumor_talki_special_26|他 提 起 了 一 个 关 于 领 主 菲 拉 达 的 动 人 故 事 ， 他 在 他 的 一 个 被 人 掠 夺 过 的 村 庄 的 废 墟 中 发 现 了 一 个 女 婴 。 他 的 军 医 治 愈 了 她 ， 菲 拉 达 领 主 把 她 当 做 女 儿 抚 养 。 他 把 她 安 置 在 一 个 僻 静 的 地 方 以 隐 藏 她 惨 不 忍 睹 的 伤 痕 。 
str_rumor_talki_special_27|他 说 一 个 故 事 ， 一 个 凡 斯 凯 瑞 海 贼 走 进 一 所 光 啸 湾 的 酒 馆 ， 侍 者 告 诉 他 他 看 起 来 实 在 是 糟 透 了 。 凡 斯 凯 瑞 人 反 问 道 ， “ 你 指 的 是 什 么 呢 ， 我 自 己 觉 得 挺 好 的 。 ” “ 嗯 ， 那 个 新 的 木 头 的 假 腿 是 怎 么 回 事 ？ ” “ 被 一 个 菲 尔 兹 威 侍 卫 用 斧 子 给 砍 掉 了 ” “ 那 你 手 上 的 钩 子 是 怎 么 回 事 ？ ” “ 我 在 一 场 战 斗 中 失 去 了 这 只 手 ， 所 以 就 装 上 了 这 个 钩 子 ” “ 那 个 眼 罩 又 是 怎 么 回 事 呢 ？ ” “ 一 群 海 鸥 飞 过 我 们 的 船 ， 我 望 了 它 们 一 眼 然 后 其 中 一 只 拉 下 的 屎 刚 搞 砸 中 了 我 的 眼 睛 ” “ 你 的 眼 睛 是 被 海 鸥 拉 屎 给 弄 瞎 的 ？ ” “ 我 这 钩 子 才 装 上 两 天 … … ” 
str_rumor_talki_special_28|他 说 有 一 位 烈 狮 境 领 主 在 出 征 前 ， 跟 他 的 管 家 讲 说 :这 是 我 妻 子 贞 操 带 的 钥 匙 ， 如 果 我 一 个 月 过 后 都 没 有 回 来 ， 就 请 用 这 把 钥 匙 让 她 自 由 。 在 他 全 副 武 装 过 后 ， 出 征 的 时 刻 到 了 ， 他 回 头 看 了 他 的 城 堡 最 后 一 眼 ， 却 发 现 管 家 在 后 方 向 他 急 奔 而 来 。 气 喘 吁 吁 说 :停 下 来 ！ 停 下 来 ！ 谢 天 谢 地 ， 我 终 于 赶 上 你 了 ， 我 发 现 你 钥 匙 拿 错 把 了 。 
str_rumor_talki_special_29|他 说 有 一 位 流 浪 诗 人 告 诉 他 ， 一 队 帝 国 军 团 带 着 战 俘 、 满 满 的 战 利 品 以 及 胜 利 凯 旋 回 归 了 思 源 城 。 “ 告 诉 我 你 的 战 果 。 ” 马 略 皇 帝 开 口 询 问 道 。 “ 是 的 ， 陛 下 ， 我 们 代 表 您 取 得 胜 果 已 经 过 去 一 周 时 间 了 ， 对 于 您 在 西 部 的 敌 人 ， 我 们 带 去 了 火 焰 的 征 服 以 及 掠 夺 。 ” 老 马 略 面 露 惊 惶 之 色 :“ 但 是 我 从 没 记 得 我 们 在 西 部 地 区 存 在 着 敌 人 。 ” “ 哦 ” 军 团 步 兵 淡 然 的 说 :“ 那 么 现 在 有 了 。 ”
str_rumor_talki_special_team_1|他 听 说 一 个 叫 哈 吉 维 德 的 德 夏 人 沉 迷 于 一 种 叫 做 “ 译 码 ” (coding)的 东 西 － － 你 知 道 那 是 什 么 吗 ？ 听 起 来 像 是 德 夏 人 的 误 解 ， 我 看 是 鳕 鱼 (cod)而 不 是 什 么 马 的 吧 。 
str_rumor_talki_special_team_2|他 说 一 个 可 怜 的 年 轻 烈 狮 境 扈 从 为 了 逃 脱 领 主 的 侩 子 手 的 追 捕 而 不 惜 跳 入 深 渊 之 中 ， 这 个 故 事 打 动 了 我 。 
str_rumor_talki_special_team_3|他 听 说 有 个 叫 恩 狄 米 恩 的 英 俊 年 轻 牧 羊 人 露 屁 股 给 他 的 羊 。 这 故 事 肯 定 来 自 凛 鸦 境 — — 你 知 道 他 们 对 羊 的 态 度 。 
str_rumor_talki_special_team_4|一 个 叫 卡 默 斯 的 人 告 诉 他 正 在 写 一 篇 关 于 研 究 青 蛙 叫 声 的 论 文 ， 命 名 为 《 失 落 的 神 话 》 真 是 太 荒 唐 了 ！ 
str_rumor_talki_special_team_5|他 听 说 有 个 叫 塔 隆 的 长 着 鹰 钩 鼻 的 新 强 盗 被 释 放 了 ， 最 好 小 心 他 ， 据 说 他 是 个 危 险 的 兴 奋 剂 上 瘾 的 家 伙 。 
str_rumor_talki_special_team_6|他 说 如 果 你 的 厕 所 满 了 ， 你 该 去 找 一 个 在 户 外 厕 所 工 作 的 叫 格 哈 特 的 专 家 ， 他 可 是 全 潘 德 解 决 这 方 面 问 题 的 著 名 专 家 。 
str_rumor_talki_special_team_7|他 说 这 儿 的 守 备 军 新 来 了 一 个 名 字 很 怪 的 射 手 ， 叫 “ 生 病 的 女 孩 ” ， 或 者 类 似 的 名 字 。 尽 管 他 的 名 字 很 怪 ， 但 他 应 该 很 擅 长 弓 术 。 
str_rumor_talki_special_team_8|他 说 过 一 个 正 义 女 神 的 牧 师 詹 姆 士 神 父 总 是 因 为 向 别 人 说 教 他 人 更 本 听 不 懂 的 东 西 而 惹 上 麻 烦 。 牧 师 们 都 是 些 怪 人 ， 说 话 像 蛇 一 样 拐 弯 抹 角 的 。 
str_rumor_talki_special_team_9|他 说 那 个 叫 莫 德 雷 德 的 家 伙 终 其 一 生 一 直 在 思 索 ， 如 果 你 允 许 的 话 他 会 喋 喋 不 休 地 将 你 淹 没 。 尽 管 他 总 是 一 次 次 地 告 诉 自 己 要 把 事 情 简 单 化 ， 然 而 他 所 诉 的 一 切 对 他 这 样 的 年 轻 人 来 说 无 一 不 是 十 分 复 杂 的 。
str_rumor_talki_special_team_10|他 说 他 在 兔 子 陷 阱 里 抓 到 了 一 只 貂 ， 却 惊 见 那 小 动 物 开 始 说 起 了 不 同 的 语 言 ， 他 一 定 是 像 领 主 一 样 喝 太 多 了 ， 才 以 为 这 种 事 情 有 可 能 会 发 生 。 
str_rumor_talki_special_team_11|他 告 诉 我 关 于 一 个 温 静 的 军 械 师 的 故 事 ， 他 是 一 名 彻 底 的 完 美 主 义 者 。他 做 出 来 的 盔 甲 巧 夺 天 工 。 不 幸 的 是 他 正 要 搬 家 到 一 片 充 满 恶 棍 的 遥 远 土 地 去 ， 潘 德 将 很 快 失 去 他 的 技 巧 了 。 
str_rumor_talki_myst_1|他 告 诉 我 另 一 个 村 子 的 民 兵 被 入 侵 者 们 击 败 了 。 这 周 已 经 是 第 二 次 了 ！ 我 们 必 须 的 做 点 什 么 ， 自 从 长 歌 港 围 城 战 以 来 迷 雾 山 的 入 侵 从 来 没 有 这 么 严 重 过 。 
str_rumor_talki_myst_2|他 说 一 支 从 晓 炉 城 出 发 的 商 队 被 迷 雾 山 入 侵 者 和 迦 图 骑 兵 同 时 袭 击 了 。 他 还 说 他 们 不 可 能 联 手 作 战 ， 估 计 在 干 掉 守 卫 之 后 他 们 自 己 会 为 了 赃 物 而 再 打 一 架 。 
str_rumor_talki_myst_3|他 问 我 最 近 有 没 有 什 么 关 于 依 斯 摩 罗 拉 的 消 息 ， 貌 似 传 闻 说 大 群 迷 雾 山 入 侵 者 正 在 东 部 集 结 ， 他 们 很 可 能 会 像 199年 的 那 次 一 样 从 他 们 的 领 地 冲 出 来 屠 杀 ， 掠 夺 并 烧 毁 从 这 里 到 暗 隼 堡 的 一 切 。 再 来 一 杯 吗 ？ {playername}。 
str_rumor_talki_myst_4|他 告 诉 我 当 上 一 批 迷 雾 山 俘 虏 们 被 民 兵 押 送 来 的 时 候 他 正 好 去 送 礼 。 他 们 流 着 血 ， 筋 疲 力 尽 ， 当 然 也 充 满 腐 烂 的 野 兽 气 息 ， 不 过 你 知 道 他 说 了 什 么 吗 ？ 他 们 在 笑 ！ 被 铁 链 连 在 一 去 押 往 地 牢 的 路 上 边 走 边 笑 。 
str_rumor_talki_myst_5|他 注 意 到 了 我 曾 经 收 集 的 一 些 旧 迷 雾 山 小 饰 品 。 所 以 我 不 得 不 给 他 讲 述 我 当 赏 金 猎 人 的 那 些 日 子 。 抓 人 ， 你 知 道 的 ， 因 为 这 是 我 们 真 正 的 赏 金 猎 人 的 工 作 ， 你 知 道 一 直 都 … … 什 么 ？ 不 ， 你 不 能 看 它 们 。 它 们 正 在 ， 嗯 … … 清 理 中 。 
str_rumor_talki_myst_6|他 看 上 去 很 紧 张 ， 不 断 的 四 处 张 望 。 他 问 我 有 没 有 看 到 过 一 个 叫 {playername}的 人 ， 我 从 没 听 过 叫 那 个 名 字 的 人 。 听 到 这 个 回 答 他 看 起 来 放 松 多 了 ， 如 果 我 愿 意 的 话 可 以 让 他 躲 到 某 个 村 子 或 者 其 他 地 方 去 。 真 是 怪 事 一 桩 。 
str_rumor_talki_myst_7|他 听 到 治 安 官 在 和 几 个 赏 金 猎 人 正 在 交 谈 着 并 且 他 们 看 上 去 不 太 乐 观 。 他 们 说 入 侵 者 正 在 龙 爪 崖 堡 北 方 集 结 ， 那 儿 的 守 备 队 不 断 的 要 求 援 军 。 当 攻 击 开 始 的 时 候 那 儿 会 首 当 其 冲 ， 记 住 我 的 话 。 
str_rumor_talki_myst_8|他 上 一 次 旅 行 的 时 候 遇 到 一 个 又 老 又 驼 的 迷 雾 山 人 ， 他 们 正 好 同 路 于 是 一 言 不 发 的 走 着 。 那 个 老 头 在 路 过 银 刃 堡 垒 的 时 候 抬 头 说 了 一 句 “ 维 约 维 斯 在 上 ” 。 一 路 上 他 只 说 了 这 么 一 句 话 。 
str_rumor_talki_myst_9|他 向 一 个 看 去 来 受 到 惊 吓 的 山 民 走 去 。 他 说 他 在 山 中 看 到 了 他 们 的 神 “ 维 约 维 斯 ” 。 他 以 为 山 民 喝 多 了 不 过 他 闻 起 来 并 没 有 酒 气 。 他 告 诉 那 家 伙 维 约 维 斯 神 只 是 传 说 而 已 ， 只 有 祭 司 们 据 说 看 到 过 维 约 维 斯 神 。 然 后 老 山 民 转 过 脸 。 抓 痕 从 额 头 到 下 巴 ， 看 起 来 他 没 说 谎 。 
str_rumor_talki_myst_10|他 告 诉 我 入 侵 者 们 正 在 崛 起 。 越 来 越 庞 大 的 迷 雾 山 游 牧 部 落 出 现 在 山 中 。 肯 定 有 人 在 某 处 把 他 们 组 织 了 起 来 。 没 别 的 解 释 ， 除 非 你 相 信 荒 谬 的 维 约 维 斯 神 。 
str_rumor_talki_myst_11|他 说 他 应 该 … … 嘿 ， 你 是 {playername}吗 ？ 听 好 了 ， 无 论 亚 伦 告 诉 你 什 么 都 不 是 真 的 。 我 和 这 事 儿 没 关 系 。 在 房 子 外 边 自 称 维 约 维 斯 神 都 是 他 的 主 意 ， 他 做 的 。 尽 管 很 有 趣 … … 
str_rumor_talki_myst_12|他 想 知 道 我 是 否 听 到 有 人 打 听 马 群 。 我 当 然 没 注 意 到 这 样 的 人 不 过 想 知 道 为 什 么 会 这 么 问 ， 他 告 诉 我 入 侵 者 们 仅 仅 在 上 周 就 已 经 连 续 袭 击 个 三 座 马 场 并 抢 走 了 所 有 的 马 匹 ， 如 果 附 近 有 人 这 么 问 的 话 就 说 明 他 们 很 快 就 会 来 了 。 
str_rumor_talki_myst_13|他 提 到 昨 晚 在 酒 馆 里 遇 到 了 一 个 年 轻 的 迷 雾 山 小 伙 子 。 看 起 来 活 泼 开 朗 。 一 开 始 没 有 任 何 问 题 ， 不 过 后 来 老 布 赖 斯 喝 多 了 开 始 吹 嘘 关 于 杀 死 入 侵 者 。 你 知 道 吗 ， 那 小 伙 子 只 是 微 笑 着 说 了 一 句 “ 维 约 维 斯 在 上 ” 。 
str_rumor_talki_myst_14|他 说 他 看 到 了 神 迹 。 龙 爪 崖 堡 ， 银 刃 堡 垒 ， 奥 登 堡 ， 所 有 边 界 要 塞 都 在 囤 积 食 物 、 武 器 并 补 充 新 兵 。 我 没 问 他 怎 么 看 到 的 ， 我 怀 疑 他 会 告 诉 我 ， 不 过 他 的 确 从 未 告 知 我 错 误 资 讯 。 领 主 们 知 道 ， 猫 神 已 经 醒 了 。 
str_rumor_talki_myst_15|他 告 诉 我 一 个 商 队 首 领 带 给 他 一 些 坏 消 息 。 迦 图 骑 兵 与 迷 雾 山 入 侵 者 们 已 经 开 始 在 东 方 联 手 了 。 我 倒 是 怀 疑 他 们 是 否 真 的 会 合 作 ， 或 许 那 只 是 个 巧 合 让 人 看 上 去 如 此 而 已 ， 不 过 前 往 晓 炉 城 的 道 路 的 确 是 越 来 越 危 险 了 。 
str_rumor_talki_myst_16|他 说 当 他 昨 夜 出 去 透 气 的 时 候 看 到 了 一 会 人 迅 速 并 安 静 的 在 黑 夜 中 从 他 附 近 经 过 。 他 们 看 上 去 是 朝 着 城 市 的 方 向 去 的 。 而 他 听 到 的 唯 一 的 声 音 就 是 一 只 山 猫 的 嚎 叫 。 
str_rumor_talki_myst_17|他 听 到 一 群 商 队 护 卫 同 商 队 头 领 争 论 。 他 们 要 求 更 多 的 报 酬 并 雇 佣 更 多 的 护 卫 。 你 看 ， 现 在 什 么 东 西 都 在 涨 价 。 那 些 该 死 迷 雾 山 人 不 让 我 们 有 任 何 安 宁 。 我 想 知 道 这 次 有 谁 能 把 他 们 打 退 。 
