
qstr_Next_Page|下 一 页 
qstr_A_god_s_voice_booms_|天 空 中 传 来 一 个 神 的 声 音 :我 是 阿 丝 塔 莉 娅 ， 正 义 女 神 。 为 了 捍 卫 正 义 而 战 吧 ， 我 会 随 时 随 地 保 护 你 ， 帮 助 你 战 斗 。 
qstr_A_god_s_voice_booms_a|天 空 中 传 来 一 个 神 的 声 音 :你 打 败 了 我 的 迦 图 ？ 当 心 因 达 尔 的 愤 怒 ！ 
qstr_A_god_s_voice_booms_ac|天 空 中 传 来 一 个 神 的 声 音 :我 命 令 你 把 拜 蛇 教 徒 驱 离 我 的 土 地 ， 以 达 米 亚 · 普 罗 维 迪 之 名 ！ 
qstr_A_god_s_voice_booms_acr|天 空 中 传 来 一 个 神 的 声 音 :你 应 停 止 和 我 的 孩 子 ， 迷 雾 山 的 战 斗 ， 否 则 就 死 于 山 神 维 约 维 斯 爪 下 吧 。 
qstr_A_god_s_voice_booms_acro|天 空 中 传 来 一 个 神 的 声 音 :我 乃 尤 诺 米 亚 ， 秩 序 之 神 ， 潘 德 的 第 一 主 神 ， 小 心 ， 被 选 中 的 人 ， 你 的 未 来 危 险 重 重 ！ 
qstr_A_god_s_voice_booms_acros|天 空 中 传 来 一 个 神 的 声 音 :结 束 对 我 的 凡 斯 凯 瑞 子 民 的 迫 害 ， 不 然 会 招 致 我 － － 风 神 哈 夫 西 格 拉 的 愤 怒 。 
qstr_A_god_s_voice_booms_across|天 空 中 传 来 一 个 神 的 声 音 :保 卫 我 的 孩 子 － － 菲 尔 兹 威 的 和 平 子 民 ， 以 播 种 女 神 泰 拉 · 维 · 苏 理 之 名 。 
qstr_A_god_s_voice_booms_across_|天 空 中 传 来 一 个 神 的 声 音 :我 ， 瓦 塔 ， 命 令 你 毁 灭 那 些 威 胁 德 夏 的 人 。 
qstr_The_God_UllrVetr_is_|乌 尔 维 特 神 给 了 你 一 个 礼 物 ， 但 你 没 有 物 品 空 间 。 
qstr_A_god_s_voice_booms_across_t|天 空 中 传 来 一 个 神 的 声 音 :我 － 乌 尔 维 特 ， 射 手 之 神 ， 赐 予 你 神 之 弓 ， 在 将 临 的 战 斗 中 用 好 此 弓 。 
qstr_UllrVetr_has_seen_th|乌 尔 维 特 神 感 受 到 威 胁 消 失 了 ； 这 也 意 味 着 那 威 力 巨 大 的 弓 消 失 了 。 
qstr_{s2}_loses_{s10}.|{s2}失 去 了 {s10}。 
qstr_{s2}_reports_the_{s1|{s2}传 来 报 告 说 {s10}从 城 堡 宝 箱 中 消 失 了 。 
qstr_A_passing_messenger_|一 个 路 过 的 信 使 告 诉 你 ， {s4}的 妻 子 在 {s5}突 然 死 了 。 
qstr_A_passing_messenger_t|一 个 路 过 的 信 使 告 诉 你 ， {s4}的 妻 子 在 {s5}突 然 死 了 。 
qstr_{s5}_launches_a_surp|{s5}对 {s6}发 动 了 奇 袭 ！ 
qstr_{s5}_War_Party|{s5}战 队 
qstr_The_{s12}_from_{s13}|有 消 息 称 来 自 {s13}的 {s12}召 集 了 一 支 战 队 来 帮 助 {s11}。 
qstr_Eyegrim_s_horde_has_|艾 格 雷 姆 的 追 随 者 已 经 收 集 了 足 够 的 灵 魂 ， 准 备 再 次 唤 醒 他 。 
qstr_Sources_say_Knights_|有 消 息 指 出 ， 黄 昏 骑 士 们 不 计 一 切 地 躲 避 艾 格 雷 姆 ， 原 因 不 明 。 
qstr_Rumor_has_it_that_th|谣 传 恶 魔 之 王 再 次 把 一 些 俘 虏 转 化 成 了 堕 落 者 。 
qstr_Echos_of_hundreds_of|数 百 被 吞 噬 的 灵 魂 之 回 音 ， 响 彻 数 英 里 。 
qstr_Villages_report_that|数 个 村 庄 都 发 出 了 报 告 ， 艾 格 雷 姆 正 在 屠 杀 人 类 ， 意 图 制 造 出 更 多 的 堕 落 者 。 
qstr_Full_skin_of_human_r|在 恶 魔 团 伙 肆 虐 过 的 地 方 ， 人 们 发 现 了 上 百 具 仅 存 皮 肤 的 人 类 尸 体 。 
qstr_Knights_of_the_Dawn_|黎 明 骑 士 团 发 出 警 告 :一 些 异 端 的 俘 虏 宣 称 ， 艾 格 雷 姆 正 在 大 量 召 唤 堕 落 者 。 
qstr_Eyegrim_has_risen_mo|艾 格 雷 姆 把 队 伍 中 的 一 些 活 人 转 化 为 堕 落 者 了 ！ 
qstr__{s61}|{s61}
qstr_{reg65?my_Lady:my_Lo|{reg65女 士 :大 人 }
qstr_{reg65?My_Lady:My_Lo|{reg65女 士 :大 人 }
qstr_{reg65?madame:sir}|{reg65?夫 人 :先 生 }
qstr_{reg65?Madame:Sir}|{reg65?夫 人 :先 生 }
qstr_The_men_are_hard_at_|人 们 正 卖 力 工 作 ， 这 个 地 方 正 一 点 一 滴 地 被 塑 造 成 型 。 
qstr_Things_are_progressi|事 情 进 展 得 很 顺 利 。 
qstr_All_seems_alright.|似 乎 一 切 安 好 。 
qstr__no_fiefs_|(没 有 封 地 ) 
qstr__fiefs:_{s0}_|(封 地 为 {s0})
qstr_^It_might_interest_y|^对 了 ， 你 也 许 会 对 这 样 的 消 息 感 兴 趣 :在 {s10}有 个 叫 {s11}的 人 想 找 点 活 干 ， 也 许 你 可 以 找 {reg1?她 :他 }谈 谈 ？ 
qstr_{reg36}x_{s0}_have_j|{reg36}个 {s0}加 入 队 伍 
qstr__Hail_Captain!|您 好 ， 队 长 ！ 
qstr__Hail_{reg63?M_Lord:|您 好 ， {reg63?大 人 :女 士 }！ 
qstr__Well_met_{reg63?M_L|幸 会 ， {reg63?大 人 :女 士 }！ 
qstr__{s4}_We_are_the_Mil|{s4}我 们 是 {s11}的 民 兵 巡 逻 队 。 
qstr__{s4}_You_are_a_welc|{s4}很 高 兴 见 到 您 ， 请 接 受 来 自 {s11}的 问 候 。 
qstr__{s4}_We_are_the_she|{s4}我 们 是 {s11}的 骑 兵 巡 逻 队 。 
qstr__{s4}_We_are_glad_to|{s4}很 高 兴 见 到 您 ！ 我 们 来 自 {s11}。 
qstr__{s4}_We_have_had_a_|{s4}最 近 生 存 艰 难 ， {reg63?大 人 :女 士 }， 得 经 常 躲 避 敌 人 部 队 和 劫 掠 大 军 。 我 们 正 在 寻 找 强 盗 和 土 匪 。 
qstr__{s4}_We_are_on_the_|{s4}我 们 正 在 寻 找 那 些 不 法 之 徒 ， {reg63?爵 爷 :贵 女 }。 
qstr__{s4}_We_set_out_day|{s4}我 们 正 在 寻 找 谋 杀 了 我 们 地 主 的 恶 棍 。 
qstr__{s4}_Our_horses_are|{s4}我 们 人 困 马 乏 ， {reg63?大 人 :女 士 }。 然 而 ， 正 义 仍 然 让 我 们 前 行 ， 追 踪 那 些 最 邪 恶 的 罪 犯 。 
qstr__No_{reg63?M_Lord:M_|没 有 ， {reg63?大 人 :女 士 }， 最 近 没 遇 到 什 么 值 得 注 意 的 事 情 ， 除 了 遇 到 一 头 漂 亮 的 梅 花 鹿 想 打 来 吃 掉 。 
qstr__I_wish_we_had_somet|我 希 望 有 东 西 可 以 告 诉 你 ， {reg63?爵 爷 :贵 女 }。 最 近 我 们 一 直 在 追 踪 强 盗 ， 没 关 注 其 它 什 么 事 情 。 
qstr__No_{reg63?M_Lord:M_L|没 有 ，{reg63?大 人 :女 士 }， 在 最 近 的 探 险 里 ， 我 们 没 有 听 到 或 看 到 任 何 不 寻 常 的 事 情 。 
qstr__Nothing_except_to_k|除 了 提 高 警 惕 外 也 没 啥 ， {reg63?大 人 :女 士 }。 出 门 在 外 总 有 遇 到 危 险 的 时 候 ， 一 些 极 端 分 子 也 无 法 用 常 理 推 测 。 
qstr_Your_patrol_leader_i|你 的 民 兵 队 长 没 办 法 带 领 这 么 多 士 兵 。 他 会 把 一 些 人 派 出 队 伍 ， 让 他 们 去 帮 助 附 近 的 村 民 。 
qstr___Ah_We_have_you_at_|哈 ， 我 们 终 于 找 到 你 了 ！ 
qstr__You!_Here?!_Who_wou|是 你 ！ 你 怎 么 找 到 这 儿 的 ！ 谁 能 想 到 你 有 这 本 事 呢 ！ 来 吧 ， 既 然 都 来 了 ， 让 我 们 在 你 爱 人 的 甜 蜜 回 忆 上 共 舞 吧 ~ 我 的 可 甜 了 ， 让 我 来 慢 慢 告 诉 你 吧 ~ 
qstr__You!_I_thought_I_ha|是 你 ！ 我 原 以 为 已 经 甩 掉 你 了 ！ 
qstr__Ha!_Come_to_take_re|哈 ！ 来 给 你 的 甜 心 报 仇 吗 ？ 你 将 尝 到 我 的 兵 刃 ！ 去 死 吧 ！ 
qstr__You!_Fie_this_day!_|你 ！ 都 是 你 的 错 ！ 本 来 一 切 都 好 好 的 ， 没 人 会 受 伤 。 该 死 ， 而 现 在 我 必 须 杀 了 你 ！ 看 看 你 都 做 了 些 什 么 ！ 
qstr__Finally..._now_you_|现 在 … … 去 地 狱 里 跟 你 的 祖 先 团 聚 吧 ！ 
qstr__Oi!_What_do_we_have|哎 呀 哎 呀 ！ 看 看 是 谁 来 啦 ？ {s4}
qstr__What_s_this_eh?_{s4|呃 ， 这 是 啥 ？ {s4}
qstr__We_will_hunt_you_do|我 们 会 追 杀 你 到 天 涯 海 角 ！ {s4}
qstr__Oi!_What_do_we_have_|哎 呀 哎 呀 ！ 看 看 是 谁 来 啦 ？ 
qstr__You_better_not_be_a|你 最 好 别 是 一 个 赏 金 猎 人 ！ 
qstr__Out_for_a_stroll_ar|出 来 散 步 ， 行 不 ？ 
qstr__What_s_this_eh?|呃 ， 这 是 什 么 ？ 
qstr__I_m_going_to_break_|我 要 打 断 你 的 腿 ！ 
qstr__Your_money_or_your_|要 钱 还 是 要 命 ？ ！ 
qstr__We_ll_have_our_pay_|要 不 交 钱 ， 要 不 死 亡 ！ 
qstr__My_men_and_I_would_|我 们 想 和 你 “ 谈 谈 ”。 
qstr__Everything_has_a_pr|我 们 这 里 什 么 都 卖 。 要 命 就 付 钱 ！ 
qstr__These_are_dangerous|牵 着 这 么 好 的 马 到 处 溜 达 是 很 危 险 的 ， 不 过 ， 俺 弟 兄 们 可 以 帮 你 “ 保 管 ” 。 
qstr__An_what_do_we_owe_t|难 道 找 乐 子 也 碍 着 你 了 吗 ？ ？ 
qstr__Your_blood_must_be_|你 的 命 将 会 是 我 们 的 ， {reg63?乡 巴 佬 :小 甜 心 }！ 
qstr__Lucky_for_you_we_ar|幸 运 的 是 ， 我 将 是 你 的 救 赎 … … … … 过 来 ， 亲 吻 女 祭 司 … … … … 感 受 神 的 崇 高 ！ 
qstr__How_SSSSublime!_Fre|多 么 崇 高 ！ 新 鲜 的 血 液 ！ 过 来 … … … … 美 人 儿 … … … … 让 我 的 剑 品 尝 你 的 灵 魂 ！ 
qstr__You_dare_speak_to_m|你 敢 和 我 说 话 ？ 你 就 是 一 个 被 碾 死 的 臭 虫 ！ 
qstr__I_was_expecting_a_c|我 一 直 在 期 待 遇 到 些 挑 战 … … 但 不 是 像 你 这 样 的 ！ 
qstr__Come_quietly_and_yo|安 静 地 过 来 ， 你 会 很 快 得 到 解 脱 ！ 
qstr__YOU_have_been_marke|你 死 定 了 ！ 
qstr__Ah!_Good!_Strip_off|好 ！ 脱 掉 你 的 衣 服 ， 上 祭 坛 来 ！ 乖 点 ， 做 个 好 {reg63?小 伙 :小 妞 }， 我 没 有 整 天 的 功 夫 来 浪 费 ！ 
qstr__For_Glory!|为 了 荣 誉 ！ 
qstr__Your_deaths_will_en|你 的 死 亡 将 提 升 我 们 的 女 神 的 力 量 ！ 为 了 神 的 复 兴 ， 去 死 吧 ！ 
qstr__We_d_prefer_to_figh|我 们 喜 欢 跟 黎 明 骑 士 作 战 ， 但 换 了 你 也 不 错 。 冲 锋 ！ 
qstr__With_our_goddess_st|女 神 在 上 ， 尽 皆 拜 倒 。 投 降 或 者 死 亡 ！ 
qstr__Ah_we_were_feeling_|啊 ， 我 们 感 到 有 点 冷 ， 用 罪 人 的 骨 头 烤 火 正 是 我 们 现 在 需 要 的 。 赶 快 投 降 ！ 
qstr__Our_fires_will_purg|火 焰 将 清 除 你 邪 恶 的 灵 魂 。 还 有 什 么 遗 言 ？ 
qstr__We_do_the_bidding_o|我 们 遵 从 正 义 女 神 的 旨 意 ， 无 人 可 以 抗 拒 。 战 斗 ！ 
qstr_Tread_softly_strange|走 路 小 心 点 ， 陌 生 人 ！ 附 近 有 迷 雾 山 歹 徒 ！ 
qstr_Keep_your_wits_about|你 自 己 小 心 一 点 。 附 近 到 处 都 是 迷 雾 山 歹 徒 。 
qstr_Right_we_ll_keep_our|好 的 ， 我 们 会 小 心 的 。 
qstr_There_are_worse_thin|这 附 近 其 实 还 有 一 些 比 迷 雾 山 歹 徒 更 可 怕 的 东 西 … …【攻 击】
qstr_All_hail_King_Ulric_|向 乌 尔 里 克 国 王 ， 潘 德 的 合 法 统 治 者 致 敬 ！ 
qstr_All_hail_{playername|向 {playername}， 潘 德 的 合 法 统 治 者 致 敬 ！【攻 击】
qstr_Halt_in_the_name_of_|以 乌 尔 里 克 国 王 ， 潘 德 的 合 法 统 治 者 的 名 义 ， 快 停 下 ！ 
qstr_Hold_in_the_name_of_|以 国 王 的 名 义 ， 快 住 手 ！ 
qstr_Clear_the_road!_King|把 路 让 开 ！ 国 王 的 军 队 行 军 中 ！ 
qstr_My_apologies_please_|对 不 起 ， 请 过 去 吧 ！ 
qstr_This_is_MY_road!_[At|这 条 路 我 说 了 算 ！【攻 击】
qstr_Hail_{playername}!_W|嗨 ， {playername}！ 我 们 以 新 帝 国 之 名 向 你 问 候 ！ 
qstr_The_New_Empire_shoul|新 帝 国 会 为 如 此 有 价 值 的 手 下 感 到 骄 傲 的 ， 再 见 。 
qstr_Your_New_Empire_will|你 们 的 新 皇 帝 马 上 就 要 变 成 一 个 乞 丐 了 ！【攻 击】
qstr_Greetings_we_are_hun|你 好 啊 ， 朋 友 ， 我 们 正 奉 马 略 皇 帝 的 命 令 追 捕 一 队 蛇 教 徒 ， 你 有 见 过 他 们 吗 ？ 
qstr_I_m_afraid_no_but_go|恐 怕 我 没 见 过 ， 但 还 是 祝 你 们 追 捕 成 功 。 
qstr_That_is_irrelevant_f|你 的 猎 杀 就 到 此 为 止 了 。【攻 击】
qstr_Well_met_travelers_m|你 好 ， 旅 人 ， 愿 你 能 找 到 一 片 安 宁 的 绿 洲 。 
qstr_And_may_you_find_ins|然 后 在 棕 榈 树 的 树 荫 下 得 到 慰 藉 。 
qstr_And_may_your_blood_t|然 后 再 用 你 的 血 把 湖 水 染 红 ！【攻 击】
qstr_Well_met_travelers_i|你 好 ， 旅 人 ， 如 果 你 静 静 站 立 然 后 聆 听 一 会 的 话 ， 你 能 听 到 沙 漠 正 在 风 中 对 你 窃 窃 私 语 。 
qstr_I_hear_it!_The_deser|我 听 到 了 ！ 沙 漠 对 我 说 话 了 。 
qstr_Then_it_should_have_|那 他 就 应 该 告 诉 了 你 们 离 我 们 远 一 点 ！【攻 击】
qstr_I_hope_fair_winds_br|一 路 顺 风 。 
qstr_None_fairer_than_sha|没 什 么 比 有 您 的 陪 伴 更 好 的 了 。 
qstr_May_the_Winds_bring_|愿 风 为 您 带 来 好 运 。 
qstr_Thanks!_Same_to_you.|谢 谢 ！ 你 也 是 。 
qstr_We_come_with_the_win|我 们 顺 着 战 火 之 风 而 来 。【攻 击】
qstr_Clear_the_road_in_th|清 理 道 路 ！ 以 预 言 中 的 潘 德 {reg63?国 王 :女 王 }之 名 ！ 
qstr_Hold_traveler_do_you|别 动 ， 旅 人 ， 你 是 为 预 言 中 的 {reg63?国 王 :女 王 }而 战 ， 还 是 对 抗 他 ？ 
qstr_For!|为 他 而 战 ！ 
qstr_Against!_[Attack]|去 死 吧 ！【攻 击】
qstr_Your_Majesty!_How_ma|陛 下 ！ 有 什 么 需 要 我 为 您 效 劳 的 吗 ？ 
qstr_Nothing_for_the_mome|现 在 不 用 ， 做 你 自 己 的 事 。 
qstr_Your_death_would_ser|你 的 死 亡 是 最 好 的 服 务 ！【攻 击】
qstr_Clear_a_path_for_{re|给 陛 下 让 路 ！ 预 言 中 的 潘 德 统 治 者 万 岁 ！ 
qstr_All_hail_me!|拥 戴 我 吧 ！ 
qstr_Such_exclamations_ar|这 种 尖 叫 真 让 我 头 疼 ！【攻 击】
qstr_Hello_there_stranger|陌 生 人 ， 你 好 ， 你 需 要 一 些 精 英 商 人 的 服 务 吗 ？ 
qstr_Hello_there_stranger_|你 好 ， 陌 生 人 ， 需 要 一 些 小 道 消 息 吗 ？ 
qstr_Not_today_thank_you.|今 天 不 用 ， 谢 谢 。 
qstr_No_but_the_loot_you_|不 ， 但 你 身 上 的 宝 物 或 许 对 我 还 有 点 帮 助 。【攻 击】
qstr_Ho_there_wanderer!_H|闲 逛 的 那 个 站 住 ！ 你 看 见 过 一 个 长 得 像 这 样 的 老 学 究 吗 ？ 我 们 本 来 是 护 送 他 的 ， 但 他 昨 晚 跟 我 们 走 散 了 。 
qstr_Wearing_a_white_habi|穿 了 身 白 大 褂 ， 然 后 头 上 顶 个 蜡 烛 ？ 估 计 他 就 在 哪 个 灌 木 丛 后 边 瞅 着 你 呢 。 
qstr_Indeed_and_he_squeal|当 然 ， 我 宰 他 的 时 候 他 嚎 的 像 只 猪 被 杀 似 的 。【攻 击】
qstr_Ho_there_wanderer_st|等 等 旅 者 ， 停 下 来 和 一 个 老 头 打 发 点 时 间 吧 。 
qstr_Of_course_I_will_sta|当 然 ， 我 会 停 下 来 听 听 的 。 
qstr_Ain_t_nobody_got_tim|并 非 无 人 有 时 间 那 样 做 ！【攻 击】
qstr_Greetings_traveler_h|你 好 啊 旅 行 者 ， 你 有 受 伤 吗 ？ 需 要 医 生 吗 ？ 
qstr_Greetings_traveler_d|你 好 ， 旅 行 者 ， 你 需 要 医 疗 协 助 吗 ？ 
qstr_Thank_you_no._We_car|谢 谢 ， 不 了 。 我 们 会 照 顾 好 自 己 的 。 
qstr_No_but_you_will_soon|不 ， 但 你 马 上 就 会 了 。 冲 锋 ！【攻 击】
qstr_Watch_the_horizon_tr|看 看 四 周 吧 ， 旅 行 者 。 你 永 远 都 不 会 知 道 大 草 原 上 潜 伏 着 什 么 样 的 野 蛮 人 。 
qstr_Watch_the_horizon_tra|看 看 四 周 吧 ， 旅 行 者 。 你 永 远 都 不 会 知 道 你 会 碰 巧 遇 上 谁 ， 或 者 谁 会 碰 巧 遇 上 你 。 
qstr_Thanks_for_the_warni|谢 谢 你 的 警 告 。 
qstr_Too_bad_you_didn_t_t|太 糟 了 ， 你 自 己 都 没 有 遵 照 自 己 的 建 议 。【攻 击】
qstr_Are_you_here_to_conf|你 是 来 这 里 忏 悔 自 己 的 罪 恶 的 吗 ？ 罪 行 只 能 用 火 焰 来 净 化 。 
qstr_Thank_you_no._My_con|谢 谢 ， 不 是 。 我 问 心 无 愧 。 
qstr_I_confess_that_I_wan|我 忏 悔 ， 我 为 我 杀 了 你 而 忏 悔 ！【攻 击】
qstr_Among_the_Dawn_we_ha|在 黎 明 时 ， 我 们 有 句 老 话 :“ 夜 生 彩 霞 ， 女 神 欲 达 ”。 
qstr_Red_sky_in_the_morni|夜 生 彩 霞 ， 异 端 不 发 。 
qstr_Red_sky_in_the_mornin|夜 生 彩 霞 ， 黎 明 必 垮 。【攻 击】
qstr_Hello_there_{reg63?b|你 好 {reg63?弟 兄 :姐 妹 }！ 多 盯 着 点 树 ， 恶 魔 可 能 就 藏 在 它 们 的 阴 影 里 。 
qstr_We_ll_be_wary_of_wha|我 们 会 小 心 的 ， 多 谢 提 醒 。 
qstr_Take_your_eyes_off_t|把 你 的 眼 睛 从 叶 子 上 移 开 ， 你 就 会 发 现 敌 人 就 在 你 眼 前 ！【攻 击】
qstr_Hello_there_{reg63?br|你 好 {reg63?弟 兄 :姐 妹 }！ 你 听 过 这 个 笑 话 吗 ？ 什 么 东 西 又 绿 又 苍 白 还 又 浑 身 红 ？ 一 个 死 诺 多 。 哈 哈 哈 哈 ！ 
qstr_Hah!_Good_one.|哈 哈 哈 。 
qstr_The_murder_of_Noldor|这 是 对 诺 多 精 灵 的 谋 杀 ， 一 点 也 不 好 笑 ！【攻 击】
qstr_Salve._May_the_gods_|别 担 心 ， 愿 老 巴 克 斯 的 众 神 无 时 无 刻 伴 你 左 右 。 
qstr_And_may_the_gods_of_|朋 友 ， 愿 潘 德 之 神 守 护 你 。 
qstr_Tell_them_yourself._|你 自 己 下 地 狱 跟 他 们 说 吧 。【攻 击】
qstr_Ave_Legate!_May_your|噢 ， 军 团 长 ！ 愿 你 的 士 兵 们 永 远 保 持 在 最 佳 状 态 。 
qstr_Thanks._We_are_striv|谢 谢 。 愿 我 们 能 努 力 追 随 你 那 光 荣 的 模 范 。 
qstr_Indeed._Make_yoursel|的 确 ， 那 你 就 准 备 好 做 给 示 范 吧 。【攻 击】
qstr_Salinohaei_{playerna|Salinohaei ， {playername}！ Lergir vaes drethargll … … 噢 (咬 舌 ) ！ 真 该 死 的 。 你 好 吗 ？ 我 一 直 在 学 习 诺 多 语 。 
qstr_Adar_lir_Hieth!..._O|Adar lir Hieth!... 哦 ， 你 只 是 个 人 类 。 我 们 想 遇 到 几 个 诺 多 人 。 你 能 从 他 们 那 里 学 到 很 多 。 
qstr_Amazing._I_wish_you_|很 好 。 我 希 望 你 所 做 的 努 力 最 终 可 以 有 所 回 报 。 
qstr_Have_you_already_lea|你 知 道 诺 多 语 中“死 亡 ”怎 么 说 的 吗 ？【攻 击】
qstr_You_have_about_ten_s|你 有 10秒 钟 来 给 我 一 个 不 打 碎 你 头 骨 的 理 由 ！ 
qstr_Ahh...yes_excuse_me.|啊 啦 … … 很 抱 歉 ， 我 只 记 得 我 有 急 事 得 先 走 了 。 
qstr_Well_you_had_two_and|好 ， 幸 好 我 比 较 大 方 ， 本 来 想 给 你 两 个 ， 但 已 经 来 不 及 了 ， 去 死 吧 ！【攻 击】
qstr_I_would_love_to_chat|我 很 想 聊 天 ， 但 我 们 已 经 发 现 前 方 在 冒 烟 。 黎 明 骑 士 似 乎 毫 不 犹 豫 地 把 更 多 的 无 辜 者 推 进 火 坑 。 
qstr_How_horrible!_Don_t_|太 糟 糕 了 ！ 我 不 再 耽 误 你 的 时 间 了 ， 快 过 去 吧 。 
qstr_The_Dawn_is_the_leas|现 在 黎 明 骑 士 不 再 是 你 最 大 的 问 题 了 ， 进 攻 ！【攻 击】
qstr_Greetings._Have_you_|你 好 。 你 在 这 附 近 有 看 到 任 何 异 端 教 徒 吗 ？我 们 被 命 令 去 … … 照 顾 他 们 一 下 。 
qstr_Sorry_I_have_encount|抱 歉 ， 我 没 有 见 到 。 你 最 好 继 续 找 找 。 
qstr_Not_before_I_have_ta|走 之 前 我 会 好 好“照 顾 ”你 的 ！【攻 击】
qstr_Forgive_my_bluntness|原 谅 我 的 直 率 ， 尊 敬 的 {reg63?先 生 :夫 人 }， 但 我 们 都 在 等 着 别 人 。 您 最 好 继 续 走 ， 而 且 最 好 快 一 点 。 
qstr_If_you_say_so_sir_kn|骑 士 先 生 ， 如 果 你 这 么 说 的 话 。 祝 你 愉 快 。 
qstr_I_am_afraid_your_app|恐 怕 你 的 任 命 将 不 得 不 推 迟 。 你 必 须 先 打 过 我 ！【攻 击】
qstr_May_Astraea_Goddess_|愿 阿 丝 塔 莉 娅 守 护 你 ， {playername}。 
qstr_Thank_you_good_sir._|谢 谢 你 ， 先 生 。 愿 她 无 时 无 刻 伴 随 在 你 身 旁 。 
qstr_She_can_certainly_wa|她 自 会 守 护 我 ， 除 你 之 外 ！ ！【攻 击】
qstr_These_lands_of_yours|这 里 很 美 。 你 要 庆 幸 拜 蛇 教 还 没 有 染 指 这 里 。 
qstr_Well_said_and_we_wil|说 的 好 ， 我 会 竭 力 保 持 下 去 的 。 保 重 ， 再 会 ， 和 善 的 先 生 。 
qstr_Oh_luck_has_little_t|哦 ， 这 和 运 气 没 什 么 关 系 。 来 ， 让 我 给 你 展 示 一 下 ！【攻 击】
qstr_We_are_the_Knights_o|我 们 是 凤 凰 骑 士 团 ！ 说 明 你 的 身 份 。 
qstr_Forgive_me._I_was_me|请 原 谅 ， 我 只 是 好 奇 。 在 这 一 带 很 少 见 到 你 这 样 的 人 。 
qstr_I_do_not_like_your_t|我 不 喜 欢 你 的 腔 调 。 给 你 一 个 教 训 ！ 【攻 击】
qstr_We_have_seen_our_hom|我 们 曾 看 着 我 们 的 家 乡 烧 成 灰 烬 ， 并 从 那 里 重 生 ， 寻 求 我 们 的 复 仇 。 你 是 吓 不 倒 我 们 的 。 
qstr_The_tale_of_your_hom|你 家 乡 的 故 事 让 我 感 到 难 过 。 希 望 有 一 天 潘 德 人 能 帮 助 你 让 那 里 重 回 正 轨 。 
qstr_We_all_make_mistakes|我 们 都 搞 错 了 ， 这 其 中 的 不 同 只 在 于 只 有 我 能 存 活 下 来 。【攻 击】
qstr_You_are_lucky_strang|你 很 幸 运 ， 陌 生 人 。 一 般 人 在 我 们 暗 影 狼 攻 击 之 前 ， 是 无 法 察 觉 的 。 
qstr_I_see._Hopefully_you|我 知 道 了 ， 希 望 你 的 兄 弟 们 不 会 对 我 有 兴 趣 。 
qstr_Spoken_like_a_true_c|你 这 个 懦 夫 ！ 当 我 进 攻 的 时 候 ， 你 会 看 到 的 ！ 就 像 现 在 ！【攻 击】
qstr_You_do_not_look_like|你 看 起 来 和 拜 蛇 教 没 有 关 联 。 走 开 ！ 我 们 对 你 没 兴 趣 。 
qstr_Good_luck_finding_al|祝 你 们 好 运 。 
qstr_Maybe_you_will_recon|等 你 的 战 士 一 个 个 倒 下 的 时 候 ， 也 许 你 会 后 悔 的 ！【攻 击】
qstr_You_are_not_our_chos|你 不 是 我 们 在 找 的 猎 物 ， 你 想 做 什 么 ？ 
qstr_I_was_merely_passing|抱 歉 ， 我 只 是 路 过 。 
qstr_Right_now?_Your_head|现 在 ？ 要 用 我 的 矛 刺 穿 你 ！【攻 击】
qstr_We_came_to_this_land|我 们 来 此 寻 找 盟 友 ， 但 目 前 为 止 ， 还 没 有 什 么 能 打 动 我 们 的 。 
qstr_There_are_many_fine_|潘 德 有 许 多 优 秀 的 战 士 。 如 果 你 坚 持 寻 找 ， 你 会 找 到 的 。 
qstr_To_arms!_Let_us_show|准 备 战 斗 ！ 让 他 们 看 看 真 正 的 潘 德 人 是 怎 么 战 斗 的 ！【攻 击】
qstr_The_Feuding_Father_h|圣 洁 的 父 亲 并 没 有 召 唤 你 ， 你 为 什 么 要 阻 碍 我 们 宣 扬 他 的 荣 光 。 
qstr_I_meant_no_disrespec|我 无 意 冒 犯 ， 祝 你 们 一 路 平 安 。 
qstr_Enough_people_have_d|多 少 人 惨 死 在 你 们 手 中 ， 现 在 轮 到 你 了 ！【攻 击】
qstr_The_Bahadur_Khan_mig|巴 哈 德 可 汗 可 能 会 说 我 们 的 复 仇 是 违 法 的 ， 但 众 神 与 我 们 同 在 。 
qstr_I_am_not_sure_the_Ba|我 不 确 定 巴 哈 德 可 汗 会 不 会 同 意 ， 但 祝 你 好 运 。 
qstr_Spoken_like_a_true_f|你 这 个 疯 子 ， 让 我 来 为 潘 德 替 天 行 道 ！【攻 击】
qstr_Greetings._Do_you_ha|你 好 。 有 什 么 恩 怨 要 帮 忙 处 理 的 吗 ？ 
qstr_What_no!_I_settle_my|自 己 的 事 情 我 要 自 己 解 决 。 
qstr_Actually_my_quarrel_|事 实 上 ， 我 是 对 你 有 些 意 见 。【攻 击】
qstr_If_you_are_not_the_b|你 为 何 要 阻 挡 我 们 的 去 路 ？ 你 不 是 我 们 要 追 捕 的 猎 物 。 
qstr_My_apologies_I_dare_|我 很 抱 歉 ， 我 不 敢 也 不 会 阻 挠 你 的 狩 猎 。 
qstr_To_be_blunt_those_ar|事 实 上 ， 猎 人 也 有 可 能 成 为 猎 物 的 ！【攻 击】
